1000	 37	 8	 30
1001	 10	 39	 10
1002	 37	 8	 50
1003	 36	 10	 41
1004	 2	 40	 48
1005	 31	 43	 45
1006	 17	 7	 46
1007	 34	 49	 27
1008	 34	 14	 22
1009	 43	 42	 33
1010	 49	 1	 21
1011	 48	 18	 42
1012	 39	 9	 21
1013	 19	 17	 31
1014	 45	 3	 13
1015	 26	 49	 13
1016	 28	 38	 37
1017	 30	 28	 41
1018	 36	 16	 7
1019	 26	 27	 4
1020	 21	 32	 14
1021	 5	 36	 46
1022	 13	 33	 40
1023	 46	 38	 6
1024	 19	 16	 24
1025	 44	 30	 39
1026	 10	 5	 30
1027	 27	 4	 13
1028	 48	 35	 10
1029	 33	 42	 1
1030	 24	 35	 33
1031	 35	 16	 12
1032	 9	 37	 13
1033	 22	 16	 38
1034	 26	 45	 36
1035	 46	 12	 41
1036	 21	 30	 26
1037	 11	 47	 43
1038	 40	 32	 4
1039	 17	 35	 26
1040	 11	 7	 14
1041	 48	 7	 2
1042	 19	 14	 9
1043	 5	 4	 42
1044	 12	 46	 18
1045	 4	 9	 37
1046	 2	 5	 45
1047	 26	 37	 34
1048	 49	 38	 40
1049	 9	 11	 26
