1000	 20	 36	 23
1001	 44	 44	 28
1002	 46	 9	 35
1003	 5	 9	 32
1004	 40	 14	 31
1005	 40	 15	 22
1006	 14	 40	 9
1007	 39	 33	 30
1008	 32	 31	 1
1009	 21	 39	 31
1010	 50	 20	 9
1011	 27	 38	 7
1012	 46	 22	 21
1013	 37	 14	 19
1014	 15	 17	 8
1015	 18	 32	 6
1016	 37	 39	 22
1017	 28	 19	 19
1018	 11	 29	 31
1019	 34	 3	 29
1020	 3	 19	 14
1021	 19	 46	 8
1022	 8	 14	 35
1023	 9	 27	 26
1024	 39	 22	 21
1025	 14	 14	 5
1026	 46	 9	 50
1027	 25	 5	 25
1028	 50	 26	 6
1029	 49	 32	 16
1030	 40	 13	 50
1031	 29	 34	 8
1032	 31	 2	 49
1033	 43	 42	 11
1034	 14	 6	 21
1035	 30	 6	 31
1036	 27	 47	 42
1037	 48	 46	 19
1038	 38	 21	 40
1039	 47	 8	 11
1040	 26	 5	 39
1041	 48	 45	 30
1042	 9	 24	 34
1043	 2	 6	 33
1044	 35	 45	 21
1045	 40	 30	 8
1046	 5	 4	 17
1047	 20	 4	 22
1048	 4	 39	 22
1049	 28	 28	 11
1050	 29	 30	 4
1051	 48	 1	 8
1052	 15	 45	 37
1053	 35	 45	 34
1054	 47	 2	 13
1055	 38	 8	 30
1056	 16	 15	 16
1057	 8	 43	 45
1058	 42	 47	 25
1059	 15	 45	 37
1060	 13	 10	 28
1061	 21	 37	 47
1062	 28	 44	 27
1063	 12	 37	 12
1064	 28	 10	 5
1065	 20	 34	 27
1066	 6	 47	 31
1067	 40	 46	 26
1068	 3	 24	 5
1069	 36	 7	 27
1070	 37	 9	 20
1071	 18	 25	 30
1072	 16	 12	 3
1073	 14	 4	 2
1074	 29	 12	 30
1075	 28	 7	 34
1076	 47	 1	 12
1077	 17	 35	 7
1078	 4	 44	 35
1079	 19	 23	 27
1080	 13	 26	 42
1081	 12	 48	 24
1082	 8	 30	 45
1083	 28	 5	 19
1084	 33	 18	 16
1085	 29	 17	 31
1086	 3	 26	 26
1087	 40	 17	 12
1088	 49	 44	 2
1089	 4	 39	 36
1090	 6	 48	 46
1091	 49	 6	 18
1092	 18	 32	 2
1093	 31	 12	 16
1094	 17	 21	 42
1095	 47	 45	 38
1096	 17	 42	 1
1097	 21	 30	 16
1098	 36	 22	 21
1099	 22	 29	 2
1100	 22	 46	 42
